Start date;End date;Nuclear [MW] Calculated resolutions;Hydro Run-of-River [MW] Calculated resolutions;Biomass [MW] Calculated resolutions;Fossil hard coal [MW] Calculated resolutions;Fossil oil [MW] Calculated resolutions;Fossil gas [MW] Calculated resolutions;Geothermal [MW] Calculated resolutions;Hydro water reservoir [MW] Calculated resolutions;Hydro pumped storage [MW] Calculated resolutions;Marine [MW] Calculated resolutions;Others [MW] Calculated resolutions;Waste [MW] Calculated resolutions;Wind offshore [MW] Calculated resolutions;Wind onshore [MW] Calculated resolutions;Solar AC [MW] Calculated resolutions
Jan 6, 2024 5:00 AM;Jan 6, 2024 6:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 6:00 AM;Jan 6, 2024 7:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 7:00 AM;Jan 6, 2024 8:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 8:00 AM;Jan 6, 2024 9:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 9:00 AM;Jan 6, 2024 10:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 10:00 AM;Jan 6, 2024 11:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 11:00 AM;Jan 6, 2024 12:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 12:00 PM;Jan 6, 2024 1:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 1:00 PM;Jan 6, 2024 2:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 2:00 PM;Jan 6, 2024 3:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 3:00 PM;Jan 6, 2024 4:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 4:00 PM;Jan 6, 2024 5:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 5:00 PM;Jan 6, 2024 6:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 6:00 PM;Jan 6, 2024 7:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 7:00 PM;Jan 6, 2024 8:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 8:00 PM;Jan 6, 2024 9:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 9:00 PM;Jan 6, 2024 10:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 10:00 PM;Jan 6, 2024 11:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 6, 2024 11:00 PM;Jan 7, 2024 12:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 12:00 AM;Jan 7, 2024 1:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 1:00 AM;Jan 7, 2024 2:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 2:00 AM;Jan 7, 2024 3:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 3:00 AM;Jan 7, 2024 4:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 4:00 AM;Jan 7, 2024 5:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 5:00 AM;Jan 7, 2024 6:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 6:00 AM;Jan 7, 2024 7:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 7:00 AM;Jan 7, 2024 8:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 8:00 AM;Jan 7, 2024 9:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 9:00 AM;Jan 7, 2024 10:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 10:00 AM;Jan 7, 2024 11:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 11:00 AM;Jan 7, 2024 12:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 12:00 PM;Jan 7, 2024 1:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 1:00 PM;Jan 7, 2024 2:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 2:00 PM;Jan 7, 2024 3:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 3:00 PM;Jan 7, 2024 4:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 4:00 PM;Jan 7, 2024 5:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 5:00 PM;Jan 7, 2024 6:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 6:00 PM;Jan 7, 2024 7:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 7:00 PM;Jan 7, 2024 8:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 8:00 PM;Jan 7, 2024 9:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 9:00 PM;Jan 7, 2024 10:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 10:00 PM;Jan 7, 2024 11:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 7, 2024 11:00 PM;Jan 8, 2024 12:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 12:00 AM;Jan 8, 2024 1:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 1:00 AM;Jan 8, 2024 2:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 2:00 AM;Jan 8, 2024 3:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 3:00 AM;Jan 8, 2024 4:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 4:00 AM;Jan 8, 2024 5:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 5:00 AM;Jan 8, 2024 6:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 6:00 AM;Jan 8, 2024 7:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 7:00 AM;Jan 8, 2024 8:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 8:00 AM;Jan 8, 2024 9:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 9:00 AM;Jan 8, 2024 10:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 10:00 AM;Jan 8, 2024 11:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 11:00 AM;Jan 8, 2024 12:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 12:00 PM;Jan 8, 2024 1:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 1:00 PM;Jan 8, 2024 2:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 2:00 PM;Jan 8, 2024 3:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 3:00 PM;Jan 8, 2024 4:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 4:00 PM;Jan 8, 2024 5:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 5:00 PM;Jan 8, 2024 6:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 6:00 PM;Jan 8, 2024 7:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 7:00 PM;Jan 8, 2024 8:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 8:00 PM;Jan 8, 2024 9:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 9:00 PM;Jan 8, 2024 10:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 10:00 PM;Jan 8, 2024 11:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 8, 2024 11:00 PM;Jan 9, 2024 12:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 12:00 AM;Jan 9, 2024 1:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 1:00 AM;Jan 9, 2024 2:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 2:00 AM;Jan 9, 2024 3:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 3:00 AM;Jan 9, 2024 4:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 4:00 AM;Jan 9, 2024 5:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 5:00 AM;Jan 9, 2024 6:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 6:00 AM;Jan 9, 2024 7:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 7:00 AM;Jan 9, 2024 8:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 8:00 AM;Jan 9, 2024 9:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 9:00 AM;Jan 9, 2024 10:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 10:00 AM;Jan 9, 2024 11:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 11:00 AM;Jan 9, 2024 12:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 12:00 PM;Jan 9, 2024 1:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 1:00 PM;Jan 9, 2024 2:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 2:00 PM;Jan 9, 2024 3:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 3:00 PM;Jan 9, 2024 4:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 4:00 PM;Jan 9, 2024 5:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 5:00 PM;Jan 9, 2024 6:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 6:00 PM;Jan 9, 2024 7:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 7:00 PM;Jan 9, 2024 8:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 8:00 PM;Jan 9, 2024 9:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 9:00 PM;Jan 9, 2024 10:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 10:00 PM;Jan 9, 2024 11:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 9, 2024 11:00 PM;Jan 10, 2024 12:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 12:00 AM;Jan 10, 2024 1:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 1:00 AM;Jan 10, 2024 2:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 2:00 AM;Jan 10, 2024 3:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 3:00 AM;Jan 10, 2024 4:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 4:00 AM;Jan 10, 2024 5:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 5:00 AM;Jan 10, 2024 6:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 6:00 AM;Jan 10, 2024 7:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 7:00 AM;Jan 10, 2024 8:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 8:00 AM;Jan 10, 2024 9:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 9:00 AM;Jan 10, 2024 10:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 10:00 AM;Jan 10, 2024 11:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 11:00 AM;Jan 10, 2024 12:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 12:00 PM;Jan 10, 2024 1:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 1:00 PM;Jan 10, 2024 2:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 2:00 PM;Jan 10, 2024 3:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 3:00 PM;Jan 10, 2024 4:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 4:00 PM;Jan 10, 2024 5:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 5:00 PM;Jan 10, 2024 6:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 6:00 PM;Jan 10, 2024 7:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 7:00 PM;Jan 10, 2024 8:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 8:00 PM;Jan 10, 2024 9:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 9:00 PM;Jan 10, 2024 10:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 10:00 PM;Jan 10, 2024 11:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 10, 2024 11:00 PM;Jan 11, 2024 12:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 12:00 AM;Jan 11, 2024 1:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 1:00 AM;Jan 11, 2024 2:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 2:00 AM;Jan 11, 2024 3:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 3:00 AM;Jan 11, 2024 4:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 4:00 AM;Jan 11, 2024 5:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 5:00 AM;Jan 11, 2024 6:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 6:00 AM;Jan 11, 2024 7:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 7:00 AM;Jan 11, 2024 8:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 8:00 AM;Jan 11, 2024 9:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 9:00 AM;Jan 11, 2024 10:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 10:00 AM;Jan 11, 2024 11:00 AM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 11:00 AM;Jan 11, 2024 12:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
Jan 11, 2024 12:00 PM;Jan 11, 2024 1:00 PM;62990.0;11740.0;1410.0;1810.0;2980.0;12790.0;0.0;8790.0;5060.0;240.0;1020.0;1060.0;1030.0;22910.0;22860.0
